Date,Open,High,Low,Close,Adj Close,Volume
2020-03-19,1088.219971,1152.609985,1055.550049,1111.670044,1111.670044,3703200
2020-03-20,1130.900024,1138.47998,1062.099976,1068.209961,1068.209961,4143900
2020-03-23,1056.369995,1066.910034,1008.869995,1054.130005,1054.130005,4183600
2020-03-24,1103.97998,1133.329956,1086.430054,1130.01001,1130.01001,3623400
2020-03-25,1124.579956,1146.170044,1083.01001,1101.619995,1101.619995,4516200
2020-03-26,1114.719971,1171.47998,1092.030029,1162.920044,1162.920044,3828100
2020-03-27,1127.469971,1151.050049,1104,1110.26001,1110.26001,3139700
2020-03-30,1132.640015,1151,1098.48999,1146.310059,1146.310059,2936800
2020-03-31,1148.72998,1173.400024,1136.719971,1161.949951,1161.949951,3261400
2020-04-01,1124,1129.420044,1093.48999,1102.099976,1102.099976,2598500
2020-04-02,1100,1122.77002,1093.130005,1117.030029,1117.030029,2820500
2020-04-03,1114.709961,1118.790039,1075.079956,1092.699951,1092.699951,2568700
2020-04-06,1133,1190.75,1125,1183.189941,1183.189941,3166000
2020-04-07,1217.01001,1220.780029,1177.25,1182.560059,1182.560059,3081000
2020-04-08,1203.099976,1214.900024,1183.949951,1207,1207,2016700
2020-04-09,1218.180054,1221.98999,1192.420044,1206.569946,1206.569946,2701400
2020-04-13,1201.5,1214.52002,1182.329956,1210.410034,1210.410034,1935100
2020-04-14,1239.969971,1275.75,1228.540039,1265.22998,1265.22998,3167900
2020-04-15,1246.51001,1275.109985,1234,1257.300049,1257.300049,2111800
2020-04-16,1267.140015,1273.359985,1238.199951,1257.430054,1257.430054,2894800
2020-04-17,1281.699951,1290,1266,1279,1279,2552500
2020-04-20,1269.890015,1276.819946,1256.439941,1261.150024,1261.150024,1764600
2020-04-21,1242.709961,1250,1205,1212.160034,1212.160034,2482400
2020-04-22,1241.109985,1279.880005,1237.199951,1258.410034,1258.410034,2315800
2020-04-23,1265.73999,1288.150024,1260.530029,1271.170044,1271.170044,1710100
2020-04-24,1255,1277.709961,1244,1276.599976,1276.599976,1872000
2020-04-27,1292,1294.099976,1265.060059,1270.859985,1270.859985,2209300
2020-04-28,1283.199951,1284.76001,1230.380005,1232.589966,1232.589966,4035000
2020-04-29,1345,1360.150024,1326.72998,1342.180054,1342.180054,5417900
2020-04-30,1331.359985,1350,1321.5,1346.699951,1346.699951,2792100
2020-05-01,1324.089966,1351.430054,1309.660034,1317.319946,1317.319946,2443600
2020-05-04,1308.130005,1324.469971,1296.01001,1322.900024,1322.900024,1540300
2020-05-05,1337.5,1371.01001,1335.030029,1349.02002,1349.02002,1983300
2020-05-06,1358,1368.689941,1345.130005,1345.430054,1345.430054,1586600
2020-05-07,1361.310059,1376,1352.540039,1369.280029,1369.280029,1532600
2020-05-08,1381.819946,1396.640015,1372.01001,1384.339966,1384.339966,1666300
2020-05-11,1376.790039,1415.530029,1375.5,1403.589966,1403.589966,1635900
2020-05-12,1408.219971,1414.329956,1374.51001,1375.180054,1375.180054,1695900
2020-05-13,1376.160034,1385.329956,1328.01001,1348.329956,1348.329956,2018400
2020-05-14,1333.52002,1357.369995,1323.300049,1356.859985,1356.859985,1833000
2020-05-15,1348.26001,1374.579956,1339,1373.060059,1373.060059,2077200
2020-05-18,1361.579956,1392.76001,1354.199951,1385.180054,1385.180054,2356400
2020-05-19,1385.47998,1392.48999,1373.76001,1374.400024,1374.400024,1579300
2020-05-20,1389.160034,1412.030029,1387.420044,1409.160034,1409.160034,1913100
2020-05-21,1410.98999,1416.459961,1394.390015,1406.75,1406.75,1544700
2020-05-22,1403.900024,1417,1395.949951,1413.23999,1413.23999,1427200
2020-05-26,1441.959961,1445.109985,1419.400024,1421.369995,1421.369995,2229500
2020-05-27,1420,1425.349976,1394.599976,1420.280029,1420.280029,1584200
2020-05-28,1400,1444.459961,1399.079956,1418.23999,1418.23999,1758500
2020-05-29,1420.430054,1436.72998,1415.97998,1433.52002,1433.52002,1852200
2020-06-01,1425.699951,1441.579956,1422.280029,1434.869995,1434.869995,1258100
2020-06-02,1435,1443,1421.609985,1442.310059,1442.310059,1172100
2020-06-03,1442.699951,1449.01001,1431.619995,1439.25,1439.25,1386600
2020-06-04,1436.780029,1441.319946,1406.01001,1414.300049,1414.300049,1349100
2020-06-05,1415.640015,1446.300049,1407.619995,1440.02002,1440.02002,2132100
2020-06-08,1426.280029,1449,1424.47998,1448.040039,1448.040039,1693900
2020-06-09,1445.23999,1467.800049,1442.359985,1452.079956,1452.079956,1681200
2020-06-10,1461.51001,1472.77002,1454.359985,1464.699951,1464.699951,1588100
2020-06-11,1441.030029,1451.599976,1398.410034,1401.900024,1401.900024,2357200
2020-06-12,1425.859985,1434.51001,1385.800049,1412.920044,1412.920044,1833800
2020-06-15,1389.48999,1425,1387.199951,1420.73999,1420.73999,1523400
2020-06-16,1449,1457.170044,1428.98999,1446.469971,1446.469971,1532400
2020-06-17,1452.939941,1462.199951,1435.130005,1452.540039,1452.540039,1530500
2020-06-18,1449.849976,1452.969971,1426.23999,1434.119995,1434.119995,1743100
2020-06-19,1440,1444.5,1419,1424.640015,1424.640015,2639200
2020-06-22,1425.01001,1450.949951,1419.189941,1450.660034,1450.660034,1472100
2020-06-23,1452,1475.199951,1445,1463.97998,1463.97998,1887600
2020-06-24,1463.280029,1475.790039,1430,1432.699951,1432.699951,1579600
2020-06-25,1431.219971,1442.319946,1419.540039,1441.099976,1441.099976,1197900
2020-06-26,1432.630005,1437.02002,1355,1362.540039,1362.540039,4882000
2020-06-29,1360.339966,1398,1351.650024,1397.170044,1397.170044,2253700
2020-06-30,1396.880005,1424,1386.930054,1418.050049,1418.050049,2014300
2020-07-01,1419.170044,1448.47998,1414.180054,1442,1442,2109100
2020-07-02,1451.839966,1488.52002,1451.069946,1469.930054,1469.930054,2860900
2020-07-06,1488.150024,1510,1476.97998,1499.650024,1499.650024,2235600
2020-07-07,1496.130005,1521.319946,1489.699951,1489.920044,1489.920044,2118200
2020-07-08,1500.800049,1511.170044,1492.300049,1503.599976,1503.599976,1588300
2020-07-09,1509.930054,1529.140015,1495.589966,1518.660034,1518.660034,2091800
2020-07-10,1513.25,1541.339966,1500.719971,1539.01001,1539.01001,1795900
2020-07-13,1549.939941,1576.359985,1506.560059,1512.22998,1512.22998,2147700
2020-07-14,1492.790039,1522.800049,1485.930054,1520.859985,1520.859985,1905400
2020-07-15,1523.22998,1536.329956,1497.829956,1516.880005,1516.880005,1551300
2020-07-16,1501.5,1515.910034,1488.27002,1514.920044,1514.920044,1324200
2020-07-17,1516.910034,1523.430054,1498.099976,1516.849976,1516.849976,1713200
2020-07-20,1515,1569.01001,1502.699951,1563.839966,1563.839966,1508300
2020-07-21,1585.030029,1587.050049,1552.619995,1555.920044,1555.920044,1377700
2020-07-22,1555.709961,1566.97998,1543.22998,1564.849976,1564.849976,1224100
2020-07-23,1565.930054,1570.349976,1508.589966,1516.75,1516.75,1695500
2020-07-24,1499.189941,1515.430054,1487.589966,1508.209961,1508.209961,1495100
2020-07-27,1513.26001,1537.560059,1512.329956,1529.430054,1529.430054,1356200
2020-07-28,1525,1526.01001,1500.52002,1503.650024,1503.650024,1545500
2020-07-29,1505,1533.329956,1503.01001,1523.51001,1523.51001,1133800
2020-07-30,1497.969971,1540.890015,1495.170044,1538.369995,1538.369995,1802100
2020-07-31,1497.050049,1505.02002,1454,1487.949951,1487.949951,4576400
2020-08-03,1491,1497.72998,1471.719971,1482.76001,1482.76001,2274100
2020-08-04,1486.709961,1493.109985,1464.030029,1473.300049,1473.300049,1860600
2020-08-05,1476.819946,1490,1471.219971,1479.089966,1479.089966,1457500
